SiteName,MonitorDate,AQI
平鎮,2021/11/8,33
觀音,2021/11/8,34
大園,2021/11/8,35
中壢,2021/11/9,57
桃園,2021/11/9,47
大園,2021/11/9,43
觀音,2021/11/9,49
平鎮,2021/11/9,46
龍潭,2021/11/9,42
中壢,2021/11/10,65
龍潭,2021/11/10,51
平鎮,2021/11/10,59
觀音,2021/11/10,51
大園,2021/11/10,54
桃園,2021/11/10,51
中壢,2021/11/11,60
桃園,2021/11/11,46
大園,2021/11/11,63
觀音,2021/11/11,60
平鎮,2021/11/11,50
龍潭,2021/11/11,52
桃園,2021/11/12,49
中壢,2021/11/12,60
龍潭,2021/11/12,46
平鎮,2021/11/12,48
觀音,2021/11/12,50
大園,2021/11/12,52
桃園,2021/11/13,42
大園,2021/11/13,40
觀音,2021/11/13,39
平鎮,2021/11/13,40
龍潭,2021/11/13,37
中壢,2021/11/13,51
桃園,2021/11/14,34
大園,2021/11/14,43
觀音,2021/11/14,44
平鎮,2021/11/14,38
龍潭,2021/11/14,44
中壢,2021/11/14,53
桃園,2021/11/15,40
大園,2021/11/15,52
觀音,2021/11/15,43
平鎮,2021/11/15,42
龍潭,2021/11/15,41
中壢,2021/11/15,55
中壢,2021/11/16,62
桃園,2021/11/16,84
大園,2021/11/16,58
觀音,2021/11/16,64
平鎮,2021/11/16,58
龍潭,2021/11/16,64
桃園,2021/11/17,50
大園,2021/11/17,48
觀音,2021/11/17,41
平鎮,2021/11/17,57
龍潭,2021/11/17,51
中壢,2021/11/17,59
大園,2021/11/18,38
桃園,2021/11/18,54
中壢,2021/11/18,60
龍潭,2021/11/18,48
平鎮,2021/11/18,56
觀音,2021/11/18,44
大園,2021/11/19,51
桃園,2021/11/19,51
觀音,2021/11/19,43
平鎮,2021/11/19,51
龍潭,2021/11/19,40
中壢,2021/11/19,58
中壢,2021/11/20,55
龍潭,2021/11/20,37
平鎮,2021/11/20,40
觀音,2021/11/20,53
大園,2021/11/20,41
桃園,2021/11/20,44
桃園,2021/11/21,84
大園,2021/11/21,48
觀音,2021/11/21,48
平鎮,2021/11/21,51
龍潭,2021/11/21,64
中壢,2021/11/21,53
大園,2021/11/22,33
中壢,2021/11/22,48
龍潭,2021/11/22,33
平鎮,2021/11/22,35
觀音,2021/11/22,28
桃園,2021/11/22,36
中壢,2021/11/23,53
龍潭,2021/11/23,33
平鎮,2021/11/23,53
觀音,2021/11/23,53
大園,2021/11/23,44
桃園,2021/11/23,51
